ID,Type,REF,Name,Parent,SKU
29765,variation,CE_C8888,Comfey Pet Compressed Pine Shavings - 30 Litre,C_CMFPNSH,C8888
29783,variation,CE_CH100,Cherish Playful Puppy Dry Food - 3kg,C_CHRSPF,CH100
29784,variation,CE_CH101,Cherish Playful Puppy Dry Food - 8kg,C_CHRSPF,CH101
29785,variation,CE_CH102,Cherish Playful Puppy Dry Food - 15kg,C_CHRSPF,CH102
29775,variation,CE_CH103,Cherish Amazing Adult Dry Dog Food - 3kg,C_CHRSAD,CH103
29776,variation,CE_CH104,Cherish Amazing Adult Dry Dog Food - 8kg,C_CHRSAD,CH104
29777,variation,CE_CH105,Cherish Amazing Adult Dry Dog Food - 15kg,C_CHRSAD,CH105
29778,variation,CE_CH106,Cherish Super 7+ Years Senior Dog Dry Food - 3kg,C_CHRSSD,CH106
29779,variation,CE_CH107,Cherish Super 7+ Years Senior Dog Dry Food - 8kg,C_CHRSSD,CH107
29780,variation,CE_CH108,Cherish Super 7+ Years Senior Dog Dry Food - 15kg,C_CHRSSD,CH108
29781,variation,CE_CH109,Cherish Complete Dry Cat Food - 3kg,C_CHRSDCF,CH109
29782,variation,CE_CH110,Cherish Complete Dry Cat Food - 8kg,C_CHRSDCF,CH110
29964,variation,CE_D1021,Drontal Allwormer for Cats 4kg - 2 Pack,C_DRC4,D1021
29965,variation,CE_D1022,Drontal Allwormer for Cats 4kg - 4 Pack,C_DRC4,D1022
29963,variation,CE_D1024,Drontal Allwormer for Large Cats XL Worming Tablets 6kg - 48 Pack,C_DRNLCXL,D1024
29962,variation,CE_D1026,Drontal Allwormer for Large Cats XL Worming Tablets 6kg - 2 Pack,C_DRNLCXL,D1026
28951,variation,CE_D1292,Vetafarm D Nutrical Vitamin Supplement - 150g,C_VDNVS,D1292
28952,variation,CE_D1295,Vetafarm D Nutrical Vitamin Supplement - 500g,C_VDNVS,D1295
28953,variation,CE_D1310,Vetafarm D Nutrical Vitamin Supplement - 1kg,C_VDNVS,D1310
29756,variation,CE_D2420,Dermcare Natural Dog Shampoo - 500ml,C_DNDS,D2420
29757,variation,CE_D2430,Dermcare Natural Dog Shampoo - 1 Litre,C_DNDS,D2430
28176,variation,CE_D2630,Dermcare Pyohex Medicated Shampoo for Dogs - 250ml,C_PMS,D2630
28177,variation,CE_D2631,Dermcare Pyohex Medicated Shampoo for Dogs - 500ml,C_PMS,D2631
28178,variation,CE_D2632,Dermcare Pyohex Medicated Shampoo for Dogs - 1 Litre,C_PMS,D2632
